date,low,high,average,open,close,daily_avg
2025-05-07,2.371,2.482,2.4475,2.441,2.454,2.4265
2025-05-08,2.454,2.74,2.587,2.454,2.72,2.5970000000000004
2025-05-09,2.696,2.993,2.85,2.72,2.98,2.8445
2025-05-10,2.905,3.218,3.0460000000000003,2.98,3.112,3.0614999999999997
2025-05-11,2.887,3.166,3.057,3.112,3.002,3.0265
2025-05-12,2.787,3.123,3.0155,3.002,3.029,2.955
2025-05-13,2.817,3.319,3.1315,3.029,3.234,3.068
2025-05-14,3.105,3.334,3.1805,3.234,3.127,3.2195
2025-05-15,2.779,3.294,2.987,3.127,2.847,3.0365
2025-05-16,2.705,2.966,2.785,2.847,2.723,2.8355
2025-05-17,2.514,2.736,2.6485,2.723,2.574,2.625
2025-05-18,2.553,2.808,2.651,2.574,2.728,2.6805
2025-05-19,2.499,2.751,2.7275,2.728,2.727,2.625
2025-05-20,2.586,2.852,2.7115,2.727,2.696,2.719
2025-05-21,2.633,2.807,2.71,2.696,2.724,2.7199999999999998
2025-05-22,2.724,2.989,2.8360000000000003,2.724,2.948,2.8565
2025-05-23,2.633,3.024,2.798,2.948,2.648,2.8285
2025-05-24,2.634,2.753,2.6585,2.648,2.669,2.6935000000000002
2025-05-25,2.542,2.717,2.6915,2.669,2.714,2.6295
2025-05-26,2.664,2.795,2.7075,2.714,2.701,2.7295
2025-05-27,2.621,2.807,2.7095000000000002,2.701,2.718,2.714
2025-05-28,2.609,2.77,2.7104999999999997,2.718,2.703,2.6895
2025-05-29,2.583,2.792,2.6479999999999997,2.703,2.593,2.6875
2025-05-30,2.213,2.612,2.4145000000000003,2.593,2.236,2.4125
2025-05-31,2.144,2.301,2.252,2.236,2.268,2.2225
2025-06-01,2.21,2.336,2.298,2.268,2.328,2.2729999999999997
2025-06-02,2.225,2.365,2.3445,2.328,2.361,2.295
2025-06-03,2.308,2.425,2.3385,2.361,2.316,2.3665
2025-06-04,2.187,2.36,2.2725,2.316,2.229,2.2735
2025-06-05,2.056,2.267,2.161,2.229,2.093,2.1615
2025-06-06,2.077,2.227,2.0925000000000002,2.093,2.092,2.152
2025-06-07,2.087,2.19,2.1165000000000003,2.092,2.141,2.1385
2025-06-08,2.079,2.253,2.1265,2.141,2.112,2.1660000000000004
2025-06-09,2.02,2.196,2.151,2.112,2.19,2.108
2025-06-10,2.159,2.335,2.258,2.19,2.326,2.247
2025-06-11,2.212,2.405,2.282,2.326,2.238,2.3085
2025-06-12,2.047,2.24,2.143,2.238,2.048,2.1435000000000004
2025-06-13,1.845,2.049,2.0255,2.048,2.003,1.947
2025-06-14,1.898,2.079,1.9740000000000002,2.003,1.945,1.9885000000000002
2025-06-15,1.904,1.966,1.948,1.945,1.951,1.935
2025-06-16,1.904,2.037,1.932,1.951,1.913,1.9705
2025-06-17,1.788,1.951,1.8645,1.913,1.816,1.8695
2025-06-18,1.773,1.935,1.857,1.816,1.898,1.854
2025-06-19,1.767,1.922,1.8584999999999998,1.898,1.819,1.8445
2025-06-20,1.667,1.842,1.7725,1.819,1.726,1.7545000000000002
2025-06-21,1.586,1.747,1.678,1.726,1.63,1.6665
2025-06-22,1.494,1.654,1.6219999999999999,1.63,1.614,1.5739999999999998
2025-06-23,1.557,1.799,1.7045,1.614,1.795,1.678
2025-06-24,1.795,1.891,1.8275000000000001,1.795,1.86,1.843
2025-06-25,1.775,1.865,1.8235000000000001,1.86,1.787,1.8199999999999998
2025-06-26,1.673,1.83,1.7325,1.787,1.678,1.7515
2025-06-27,1.646,1.804,1.7149999999999999,1.678,1.752,1.725
2025-06-28,1.728,1.85,1.7890000000000001,1.752,1.826,1.7890000000000001
2025-06-29,1.789,2.06,1.912,1.826,1.998,1.9245
2025-06-30,1.902,2.004,1.9535,1.998,1.909,1.9529999999999998
2025-07-01,1.827,1.922,1.8775,1.909,1.846,1.8744999999999998
2025-07-02,1.801,1.974,1.8885,1.846,1.931,1.8875
2025-07-03,1.882,1.976,1.924,1.931,1.917,1.9289999999999998
2025-07-04,1.75,1.944,1.847,1.917,1.777,1.847
2025-07-05,1.741,1.811,1.778,1.777,1.779,1.776
2025-07-06,1.763,1.855,1.7999999999999998,1.779,1.821,1.809
2025-07-07,1.771,1.832,1.8045,1.821,1.788,1.8014999999999999
2025-07-08,1.741,1.83,1.8065,1.788,1.825,1.7855
2025-07-09,1.793,1.929,1.865,1.825,1.905,1.861
2025-07-10,1.879,2.07,1.9874999999999998,1.905,2.07,1.9745
2025-07-11,2.025,2.265,2.107,2.07,2.144,2.145
2025-07-12,1.988,2.159,2.1109999999999998,2.144,2.078,2.0735
2025-07-13,2.078,2.241,2.112,2.078,2.146,2.1595
2025-07-14,2.124,2.272,2.159,2.146,2.172,2.198
2025-07-15,2.054,2.222,2.191,2.172,2.21,2.138
2025-07-16,2.181,2.309,2.2195,2.21,2.229,2.245
2025-07-17,2.125,2.322,2.24,2.229,2.251,2.2235
2025-07-18,2.199,2.411,2.251,2.251,2.251,2.3049999999999997
2025-07-19,2.179,2.338,2.2485,2.251,2.246,2.2584999999999997
2025-07-20,2.143,2.36,2.2625,2.246,2.279,2.2515
2025-07-21,2.231,2.459,2.3185000000000002,2.279,2.358,2.3449999999999998
2025-07-22,2.181,2.383,2.314,2.358,2.27,2.282
2025-07-23,1.956,2.272,2.137,2.27,2.004,2.114
2025-07-24,1.803,2.033,1.9585,2.004,1.913,1.918
2025-07-25,1.861,1.977,1.9380000000000002,1.913,1.963,1.919
2025-07-26,1.942,2.003,1.9635,1.963,1.964,1.9725000000000001
2025-07-27,1.957,2.03,1.992,1.964,2.02,1.9935
2025-07-28,1.808,2.06,1.9395,2.02,1.859,1.9340000000000002
2025-07-29,1.794,1.926,1.8505,1.859,1.842,1.8599999999999999
2025-07-30,1.72,1.857,1.8290000000000002,1.842,1.816,1.7885
2025-07-31,1.712,1.882,1.771,1.816,1.726,1.797
2025-08-01,1.647,1.748,1.717,1.726,1.708,1.6975
2025-08-02,1.638,1.745,1.6955,1.708,1.683,1.6915
2025-08-03,1.657,1.755,1.7120000000000002,1.683,1.741,1.706
2025-08-04,1.719,1.831,1.7785000000000002,1.741,1.816,1.775
2025-08-05,1.711,1.816,1.7875,1.816,1.759,1.7635
2025-08-06,1.693,1.832,1.7799999999999998,1.759,1.801,1.7625000000000002
2025-08-07,1.782,1.859,1.8225,1.801,1.844,1.8205
2025-08-08,1.809,1.889,1.854,1.844,1.864,1.849
2025-08-09,1.861,1.985,1.9085,1.864,1.953,1.923
2025-08-10,1.886,2.411,2.09,1.953,2.227,2.1485
2025-08-11,2.167,2.599,2.2695,2.227,2.312,2.383
2025-08-12,2.193,2.352,2.2935,2.312,2.275,2.2725
2025-08-13,2.222,2.387,2.319,2.275,2.363,2.3045
2025-08-14,2.064,2.364,2.2359999999999998,2.363,2.109,2.214
2025-08-15,2.031,2.179,2.1105,2.109,2.112,2.105
2025-08-16,2.076,2.128,2.1055,2.112,2.099,2.1020000000000003
2025-08-17,2.093,2.207,2.117,2.099,2.135,2.15
2025-08-18,2.006,2.148,2.0824999999999996,2.135,2.03,2.077
2025-08-19,1.909,2.068,1.9729999999999999,2.03,1.916,1.9885000000000002
2025-08-20,1.91,2.085,1.9649999999999999,1.916,2.014,1.9975
2025-08-21,1.911,2.014,1.9669999999999999,2.014,1.92,1.9625
2025-08-22,1.847,2.09,2.005,1.92,2.09,1.9685
2025-08-23,2.011,2.109,2.094,2.09,2.098,2.06
2025-08-24,2.014,2.198,2.099,2.098,2.1,2.106
2025-08-25,1.853,2.109,1.992,2.1,1.884,1.9809999999999999
2025-08-26,1.871,1.982,1.9215,1.884,1.959,1.9264999999999999
2025-08-27,1.924,1.987,1.9445000000000001,1.959,1.93,1.9555
2025-08-28,1.911,2.022,1.9729999999999999,1.93,2.016,1.9665
2025-08-29,1.905,2.279,1.982,2.016,1.948,2.092
2025-08-30,1.88,1.965,1.946,1.948,1.944,1.9224999999999999
2025-08-31,1.875,1.975,1.9104999999999999,1.944,1.877,1.925
2025-09-01,1.773,1.909,1.8455,1.877,1.814,1.841
